id,platform,text,众包原标签,你的标签,verdict_谁对
H124,xhs,很喜欢现在小红书的氛围，外星人也可以畅所欲言,1,0,
H181,xhs,商家永远别跟买家说实话，无奸不商,0,1,
H014,tieba,尬黑，意思是韩女正常哺乳都不行吗？,1,0,
H102,xhs,悄悄说其实我觉得马思唯前女友和她是同一种赛道的 人家现在都混到娱乐圈里了 再看看咱奶,1,0,
H128,xhs,其实很可以，可以当特殊演员,1,0,
H109,xhs,我知道！可以演三体2,1,0,
H139,xhs,美国有个叫51区的艺校听说偏好这种特长生,1,0,
H253,zhihu,跪族篮孩居然歧视黑人，好奇怪的现象。,0,1,
H106,xhs,小红书还是太先进了，都能看到火星人艺考了,1,0,
H013,tieba,复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,0,1,
H062,tieba,所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,1,0,
H103,xhs,她说过想唱不一样的歌想表达不一样的心情感受  以为自己会是另类 没想到不伦不类  想学欧美范 比如miley cyrus 可人家是有创作能力的 有实力另类的,1,0,
H073,tieba,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,0,1,
H050,tieba,凭什么女的能扭男的就不行,1,0,
H319,wb,你不是说单是特别好的宝宝吗 左右脑互搏吗姐妹,1,0,
H326,wb,是真的哈哈哈哈哈哈哈头一天粉丝还发帖吹总监制，现在出事了就是挂名,1,0,
H009,tieba,此人品行恶劣，但一个人不能代表几十亿人。,1,0,
H003,tieba,lz你没看完原贴，原贴还说这女的有精神类疾病。判四个月，这会儿已经放出来继续祸害了,0,1,
H193,xhs,让它闹，有证据又怎么样？还能把你关进监狱里不成，你要在战略上蔑视他，对它不用那么讲客气，要啥证据啊。,0,1,
H026,tieba,看了几天帖子，反同人士除了通篇常见的几句‘txl不正常’类似的话，具体措施，如何实施，实施所需占用的社会资源，实施成效等，都没看见你们有什么想法呢。饭桶就只是口头上的吗，让我很失望。,1,0,
H074,tieba,应该多科普,0,1,
H138,xhs,香的博主，现在航天发展快，你可以拍外星交流片,1,0,
H125,xhs,可以的。可以演很多特型角色。,1,0,
H368,wb,那确实没你主子心平气和哈哈哈哈哈哈哈 查看2张图片,0,1,
H146,xhs,就这还国家级演员 哈哈哈哈,1,0,
H066,tieba,停下吧，快停一下吧，让智商回来。反同到底有什么意义？反同是因为什么？你们真的有想清楚吗？说什么啊，这是不孝，那是人家的家事，关你何事？说什么欺骗他人，欺骗他人的是个人，不是群体，搞清楚一点。到处网暴别人，我觉得主要原因就是因为你们现实生活过得不好，所以才要去网暴那些其他过得比你们更不好的人。,1,0,
H366,wb,哈哈哈哈哈哈求求了谁来找个法师超度一下吧,0,1,
H121,xhs,原来交大运的运是好孕的孕啊[超喜欢R],1,0,
H017,tieba,国内女性想要反抗男权压迫最好的方法就是做子宫摘除手术。这种手术能帮你鉴别你的男朋友是爱你还是拿你当生育工具。祝中国女性早日摆脱男权压迫。我现在就希望中国女性放过中国男性，不要变喝血边骂了。你们直接做子宫摘除手术，不就可以远离男权的生育机器化吗？,0,1,
H036,tieba,男权吧老哥们还是比较理智哦，这要是男的发女权吧，可能已经让骂死了,1,0,
H252,zhihu,这么优秀的黑人找个这么丑陋的国女 不信 感觉严重造谣,0,1,
H024,tieba,看到你这帖子，确定你就是***媚嘿奴隶了,0,1,
H055,tieba,杀了人还嬉皮笑脸，可见这人心里极其残忍。,1,0,
H078,tieba,吧主是重庆的啊，你们那儿也算是重灾区了吧,0,1,
H001,tieba,**什么都要男的干女的活着干什么,1,0,
H134,xhs,瓜子脸啊，瓜子挺好吃的,1,0,
H069,tieba,植物也会开花结果，你们同性恋的爱有什么结果？结果是艾滋。同性恋有什么爱情结晶？爱情结晶是hiv药。同性恋同婚有什么意义？意义就是互相传播艾滋上天堂,0,1,
H318,wb,合着没解约又好上了呀没问题的时候，妹妹是大女主是总策划是独立了，有问题的时候，都是公司的问题，是白木的问题，妹妹什么都不知道搞半天原来都是挂名，都是人设,1,0,
H057,tieba,什么女用洗衣机，这就把我的臭袜子塞进去,1,0,
H056,tieba,山东的名声彻底被这些高校领导给搞臭了，而且至今仍不知悔改，可悲,1,0,
H150,xhs,ai真恶心,0,1,
H159,xhs,哈哈哈哈怎么骂人还ln不分,0,1,
H051,tieba,破坏中非友谊，把你抓起来,1,0,
H335,wb,你们女权主义也很离谱的一件事，喜欢攻击别人的妈妈，好像一个女性只要生育，只要生育一个被批判的人，那这个女性就有罪，说实话，你们眼里到底什么是女性，就跟白种人眼里白人才算人一样，你们眼里的女性只有高收入高智商刷小红书才是女性是吗??,1,0,
H040,tieba,你好像一个清朝老僵尸，在这挖坟抛尸，别恶心大伙了,0,1,
H388,wb,尼的??跟名字绝配配～,0,1,
H315,wb,好一波热搜啊明眼人一看就懂呵呵,1,0,
H348,wb,那有点恶心了 凭啥小羊高人一等 赔不起就不赔了啊,1,0,
H116,xhs,三妹哦 外星人哦,1,0,
H006,tieba,别故意挑起吧友仇恨对抗，你嫁黑人就算了，别怂恿别的女孩和黑人谈恋爱,1,0,
H250,zhihu,"“男人可以媚黑女人不行的问题，那你怎么说服她们,她们看了不管心里怎么想黑人肯定跟你刚,你可以换位思考下”我就是你说的这种心态，我讨厌双标男胜于讨厌黑人，毕竟黑人这种生物不接触就可以避免了，但这种双标男知乎到处都是，不停的给人洗脑男女有别",0,1,
H380,wb,那很肥美了朋友,0,1,
H316,wb,纯妹妹的水军发力了,1,0,
H137,xhs,我的妈呀，女版华晨宇,1,0,
H309,wb,这精神状态绝对跟华晨宇是天生一对，月老都拆不上他们,1,0,
H312,wb,笑死我了，评论区粉丝说，全是原唱，就是没原创哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1,0,
H148,xhs,外星人走艺考很有特色的,1,0,
H383,wb,哈哈哈哈哈闻闻你的张 bro 吧，凉透透了呜呜呜,0,1,
H046,tieba,您如此高傲的挑衅全体人民的行为可真是让人始料未及呢,0,1,
H023,tieba,既然有人搭台，你为何不上去唱戏？借假人夺真利，不是美事一桩？,1,0,
H093,tieba,反变态吧吧名简洁明了，一看就懂,0,1,
H058,tieba,生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,1,0,
H022,tieba,记得看过一本隐喻黑人的悬疑小说，揭示了黑人的丑恶嘴脸，主角好像叫肖万来着，还是肖旺,0,1,
H113,xhs,华晨宇最起码有原创的几首歌蛮好听的哈哈哈，这个是啥啊，她自己原创的歌至今没有破圈过,1,0,
H002,tieba,“不仇女未必能让女拳消失，但是仇女一定不能让女拳消失，甚至会反向壮大女拳”中华大地压迫了女性几千年，也没有出现过女拳这种物种，可见女拳也不是仇女壮大出来的，而是平权放任出来的,0,1,
H277,zhihu,原来大国气度是接盘??,0,1,
H308,wb,不愧是粉丝自封的新生代天后啊，演唱会门票价格快赶上陈奕迅了。这么厉害的歌手，一定有很多脍炙人口的歌吧,1,0,
H027,tieba,可能因为是鸡汤吧，向着男性说话的，或许会叫鸭汤。能毒死鸡的汤当然就是毒鸡汤咯。,1,0,
H119,xhs,你说的太对了哈哈哈哈，有人扒她视频，发现她是个过敏专业户,1,0,
H215,zhihu,无耻的学校领导，也不为自己后代积点阴德,1,0,
H042,tieba,你凭什么假定这位男士的x别？你怎么知道他不是生理上的男x，心理上的女x。照这么说的话，她应该是通讯录才对。,1,0,
H294,zhihu,是都有很多中国女友????,0,1,
